hypervolumenRelativo,instancia,metodo,interacion
0.985611069456498,AMPL1,AE,20
0.978984817406883,AMPL1,AE,22
0.974213702972195,AMPL1,AE,21
0.969252214409561,AMPL1,AE,24
0.984740989178066,AMPL1,AE,23
0.97534883351881,AMPL1,AE,26
0.9749654451988,AMPL1,AE,25
0.984535036576234,AMPL1,AE,28
0.971772753605502,AMPL1,AE,27
0.96686591864944,AMPL1,AE,29
0.978524634972646,AMPL1,AE,31
0.97512112297473,AMPL1,AE,30
0.973448751298493,AMPL1,AE,33
0.985340767706832,AMPL1,AE,32
0.979963197690756,AMPL1,AE,35
0.987895858280799,AMPL1,AE,34
0.986033981407592,AMPL1,AE,37
0.985452232567364,AMPL1,AE,36
0.971279107909543,AMPL1,AE,39
0.984842871135248,AMPL1,AE,38
0.979111790542832,AMPL1,AE,40
0.98029990899311,AMPL1,AE,1
0.975547029468876,AMPL1,AE,42
0.981007746516723,AMPL1,AE,2
0.985964045172659,AMPL1,AE,41
0.973479060596399,AMPL1,AE,44
0.967161159310343,AMPL1,AE,0
0.974191933759487,AMPL1,AE,43
0.975943194415596,AMPL1,AE,46
0.972244793473575,AMPL1,AE,45
0.974799547684524,AMPL1,AE,48
0.969212650538612,AMPL1,AE,47
0.967225569791265,AMPL1,AE,49
0.985764863129233,AMPL1,AE,9
0.967126846051316,AMPL1,AE,7
0.972995000309759,AMPL1,AE,8
0.973921226301971,AMPL1,AE,5
0.985244145505395,AMPL1,AE,6
0.97706726959612,AMPL1,AE,3
0.977269059225452,AMPL1,AE,4
0.987069445482041,AMPL1,AE,11
0.976242778769749,AMPL1,AE,10
0.978838460414653,AMPL1,AE,13
0.981420780156737,AMPL1,AE,12
0.976356601661449,AMPL1,AE,15
0.971493383609577,AMPL1,AE,14
0.97961175481578,AMPL1,AE,17
0.969765934358638,AMPL1,AE,16
0.970923345657447,AMPL1,AE,19
0.975234853265582,AMPL1,AE,18
0.738510454915519,AMPL1,GreedyCosto,0
0.56558285034024,AMPL1,GreedyQoS,0
0.0594693185151805,AMPL1,RoundRobin,0
0.999999999955512,AMPL1,CPLEX,0
0.935316610752225,AMPL2,AE,41
0.940848440667485,AMPL2,AE,40
0.948766452167423,AMPL2,AE,39
0.946228788141686,AMPL2,AE,38
0.921956396946112,AMPL2,AE,37
0.939346002167908,AMPL2,AE,36
0.936757087132682,AMPL2,AE,35
0.936066245417871,AMPL2,AE,34
0.937625512834794,AMPL2,AE,33
0.949758402362853,AMPL2,AE,32
0.945347399330742,AMPL2,AE,31
0.942708046507058,AMPL2,AE,49
0.938084531116238,AMPL2,AE,48
0.934935958407825,AMPL2,AE,47
0.947764047726999,AMPL2,AE,46
0.942741446588783,AMPL2,AE,45
0.94692845972903,AMPL2,AE,44
0.941143481940736,AMPL2,AE,43
0.94267861029616,AMPL2,AE,42
0.924280635958507,AMPL2,AE,3
0.937138631259076,AMPL2,AE,2
0.941712057997126,AMPL2,AE,5
0.927335348666495,AMPL2,AE,4
0.935306334128281,AMPL2,AE,7
0.948022293089317,AMPL2,AE,6
0.928188775723198,AMPL2,AE,9
0.933656117260574,AMPL2,AE,8
0.937964620765338,AMPL2,AE,19
0.941256497907257,AMPL2,AE,18
0.940218792469253,AMPL2,AE,17
0.92654915947572,AMPL2,AE,16
0.937583995273922,AMPL2,AE,15
0.94148758623981,AMPL2,AE,14
0.937774900773748,AMPL2,AE,13
0.951846384421472,AMPL2,AE,12
0.932442850354638,AMPL2,AE,11
0.931073379156123,AMPL2,AE,1
0.939211985578966,AMPL2,AE,10
0.938364891742689,AMPL2,AE,0
0.933438179173517,AMPL2,AE,30
0.933510989468718,AMPL2,AE,29
0.938667423552017,AMPL2,AE,28
0.948318894756815,AMPL2,AE,27
0.938798499419955,AMPL2,AE,26
0.948539729338248,AMPL2,AE,25
0.94912309581366,AMPL2,AE,24
0.914039443426259,AMPL2,AE,23
0.94451318952401,AMPL2,AE,22
0.936711341793166,AMPL2,AE,21
0.933625918338635,AMPL2,AE,20
0.685775073769272,AMPL2,GreedyCosto,0
0.378708027921806,AMPL2,GreedyQoS,0
0.0620046970545852,AMPL2,RoundRobin,0
0.994600446773533,AMPL2,CPLEX,0
0.940656062285737,AMPL3,AE,20
0.945562674076721,AMPL3,AE,19
0.937884700517609,AMPL3,AE,18
0.937961834053385,AMPL3,AE,15
0.941420539106775,AMPL3,AE,14
0.936557800381069,AMPL3,AE,17
0.94228243693758,AMPL3,AE,16
0.932879705168529,AMPL3,AE,11
0.940458881596611,AMPL3,AE,10
0.946665530819658,AMPL3,AE,13
0.939440200718438,AMPL3,AE,12
0.948159333265883,AMPL3,AE,48
0.943794288552709,AMPL3,AE,47
0.942480138762809,AMPL3,AE,49
0.946466621901229,AMPL3,AE,44
0.933404370051837,AMPL3,AE,43
0.926586708349227,AMPL3,AE,46
0.941282600021054,AMPL3,AE,45
0.952516841792444,AMPL3,AE,5
0.913298275504066,AMPL3,AE,40
0.94359562602139,AMPL3,AE,6
0.950488096067304,AMPL3,AE,7
0.924334059939345,AMPL3,AE,42
0.938192667414481,AMPL3,AE,8
0.930261360560555,AMPL3,AE,41
0.943021039561186,AMPL3,AE,1
0.94900236015191,AMPL3,AE,2
0.936174159833153,AMPL3,AE,3
0.950298576845176,AMPL3,AE,4
0.940029211524399,AMPL3,AE,9
0.932301078588603,AMPL3,AE,37
0.938030011709071,AMPL3,AE,36
0.939315678829785,AMPL3,AE,39
0.941193623208311,AMPL3,AE,0
0.937126312698758,AMPL3,AE,38
0.929984264139271,AMPL3,AE,33
0.945632692546309,AMPL3,AE,32
0.955867044357163,AMPL3,AE,35
0.922352397067731,AMPL3,AE,34
0.93310038243489,AMPL3,AE,31
0.939529344349769,AMPL3,AE,30
0.939552061603664,AMPL3,AE,29
0.927487714716138,AMPL3,AE,26
0.943564943468454,AMPL3,AE,25
0.933977655082467,AMPL3,AE,28
0.924087575756417,AMPL3,AE,27
0.945836729910711,AMPL3,AE,22
0.952202316833516,AMPL3,AE,21
0.951740604706179,AMPL3,AE,24
0.94161316639693,AMPL3,AE,23
0.677181276461313,AMPL3,GreedyCosto,0
0.423088137758213,AMPL3,GreedyQoS,0
0.0593631803804291,AMPL3,RoundRobin,0
0.998624973026682,AMPL3,CPLEX,0
0.95854779299567,AMPL4,AE,43
0.958229112446428,AMPL4,AE,42
0.949640990171238,AMPL4,AE,41
0.966384347912969,AMPL4,AE,40
0.959615612299678,AMPL4,AE,36
0.953587618074562,AMPL4,AE,35
0.958776208278622,AMPL4,AE,34
0.965788791300221,AMPL4,AE,33
0.965437622029505,AMPL4,AE,39
0.954230521824004,AMPL4,AE,38
0.948421737620852,AMPL4,AE,37
0.965433521427798,AMPL4,AE,10
0.947608348409059,AMPL4,AE,47
0.956659838962373,AMPL4,AE,46
0.969685910027728,AMPL4,AE,45
0.943593274018498,AMPL4,AE,44
0.942104443510188,AMPL4,AE,49
0.945487700264647,AMPL4,AE,48
0.962208438306355,AMPL4,AE,7
0.954663639124162,AMPL4,AE,6
0.953374555803921,AMPL4,AE,5
0.948934854296753,AMPL4,AE,4
0.957595863492256,AMPL4,AE,3
0.951712459416562,AMPL4,AE,21
0.959341927059496,AMPL4,AE,2
0.95369343752246,AMPL4,AE,20
0.956018079861527,AMPL4,AE,1
0.962725846807723,AMPL4,AE,0
0.942860534354209,AMPL4,AE,9
0.955731462907103,AMPL4,AE,8
0.945484899144799,AMPL4,AE,19
0.962143910250585,AMPL4,AE,14
0.961983971751812,AMPL4,AE,13
0.956240885729218,AMPL4,AE,12
0.951645643042547,AMPL4,AE,11
0.950185365507839,AMPL4,AE,18
0.952485986370536,AMPL4,AE,17
0.942687581640136,AMPL4,AE,16
0.959095615584961,AMPL4,AE,15
0.947192767990029,AMPL4,AE,32
0.956261578876261,AMPL4,AE,31
0.949962727912953,AMPL4,AE,30
0.946931877969899,AMPL4,AE,25
0.951468290218002,AMPL4,AE,24
0.945947148115277,AMPL4,AE,23
0.956406071132987,AMPL4,AE,22
0.941503058294294,AMPL4,AE,29
0.944951168950655,AMPL4,AE,28
0.944290077557168,AMPL4,AE,27
0.970111766962117,AMPL4,AE,26
0.745883919295176,AMPL4,GreedyCosto,0
0.389356759771691,AMPL4,GreedyQoS,0
0.0518681990020441,AMPL4,RoundRobin,0
0.817629526827125,AMPL4,CPLEX,0
0.993061208416675,CH1,AE,23
0.952879385246789,CH1,AE,22
0.965635076420058,CH1,AE,25
0.963819389941866,CH1,AE,24
0.967410665230105,CH1,AE,27
0.967892539037343,CH1,AE,26
0.965348035226291,CH1,AE,29
0.945410460687345,CH1,AE,28
0.98171226923715,CH1,AE,30
0.982751766885336,CH1,AE,32
0.964766469227062,CH1,AE,31
0.979007898776161,CH1,AE,34
0.980048956719692,CH1,AE,33
0.982387953187824,CH1,AE,36
0.992056574743412,CH1,AE,35
0.956460963837942,CH1,AE,38
0.98383569536085,CH1,AE,37
0.96613146975531,CH1,AE,39
0.966428557155088,CH1,AE,41
0.963691454959982,CH1,AE,40
0.956366931061054,CH1,AE,43
0.987177820097496,CH1,AE,42
0.978004231519854,CH1,AE,1
0.966867002385898,CH1,AE,0
0.962284175111578,CH1,AE,3
0.963594628154982,CH1,AE,2
0.979334746970134,CH1,AE,5
0.979334746970134,CH1,AE,4
0.961037047181177,CH1,AE,7
0.974199349322811,CH1,AE,6
0.961037047181177,CH1,AE,9
0.974562917870777,CH1,AE,45
0.955133894076727,CH1,AE,8
0.974182557589891,CH1,AE,44
0.965406311372661,CH1,AE,47
0.985591598808103,CH1,AE,46
0.975819565782962,CH1,AE,49
0.983014832561614,CH1,AE,48
0.983812586585978,CH1,AE,10
0.984321749590439,CH1,AE,19
0.972718178454455,CH1,AE,12
0.977291378429031,CH1,AE,11
0.95486083789053,CH1,AE,14
0.975744074909179,CH1,AE,13
0.983339419843928,CH1,AE,16
0.94398828389532,CH1,AE,15
0.979788931519917,CH1,AE,18
0.972935140757172,CH1,AE,17
0.961817628257241,CH1,AE,21
0.969458222741917,CH1,AE,20
0.651817725284532,CH1,GreedyCosto,0
0.673594937311756,CH1,GreedyQoS,0
0.108287472986943,CH1,RoundRobin,0
0.98239713394316,CH2,AE,49
0.984596220703339,CH2,AE,48
0.979859471712262,CH2,AE,47
0.983804400842069,CH2,AE,46
0.985313495468933,CH2,AE,45
0.975997920978904,CH2,AE,11
0.97535037918442,CH2,AE,10
0.972432015788121,CH2,AE,39
0.979950054147002,CH2,AE,38
0.973041733553676,CH2,AE,37
0.979767222795667,CH2,AE,36
0.988976712929246,CH2,AE,35
0.967110500065646,CH2,AE,34
0.982907580645472,CH2,AE,44
0.975441440760355,CH2,AE,43
0.971602156675353,CH2,AE,42
0.979288838343763,CH2,AE,41
0.980438447870591,CH2,AE,40
0.96802873126998,CH2,AE,3
0.981610119866858,CH2,AE,4
0.973591079983337,CH2,AE,29
0.977435419095997,CH2,AE,5
0.971945399502574,CH2,AE,28
0.973878228755987,CH2,AE,6
0.98325279031229,CH2,AE,27
0.979908164900102,CH2,AE,26
0.977725225634427,CH2,AE,0
0.960824013991593,CH2,AE,25
0.981076557922576,CH2,AE,1
0.982431513467912,CH2,AE,24
0.9800870742826,CH2,AE,2
0.978700207587284,CH2,AE,23
0.978334027752345,CH2,AE,7
0.972026099040316,CH2,AE,8
0.988582567574657,CH2,AE,9
0.967110500065646,CH2,AE,33
0.976307418356671,CH2,AE,32
0.982000367117854,CH2,AE,31
0.967769748501473,CH2,AE,30
0.973138423273021,CH2,AE,19
0.980142601014741,CH2,AE,18
0.985116303134003,CH2,AE,17
0.970988558614963,CH2,AE,16
0.980822943340717,CH2,AE,15
0.986467772863083,CH2,AE,14
0.984495573780674,CH2,AE,13
0.980151691088769,CH2,AE,12
0.986490151450438,CH2,AE,22
0.990501955945591,CH2,AE,21
0.979810604418428,CH2,AE,20
0.6728353836011,CH2,GreedyCosto,0
0.541546887120074,CH2,GreedyQoS,0
0.0585350559800636,CH2,RoundRobin,0
0.978725337971005,M1,AE,41
0.965650496745509,M1,AE,40
0.973015808105535,M1,AE,43
0.975319489338189,M1,AE,42
0.961590086125561,M1,AE,9
0.954534869959084,M1,AE,49
0.985288761597031,M1,AE,8
0.973572847384404,M1,AE,48
0.98100228893625,M1,AE,45
0.988807750938823,M1,AE,44
0.976337458901916,M1,AE,47
0.96342552756079,M1,AE,46
0.956674646854188,M1,AE,1
0.967570535215432,M1,AE,0
0.965816327332688,M1,AE,3
0.977073168371268,M1,AE,2
0.961595913188728,M1,AE,5
0.991730903675296,M1,AE,4
0.98480951232501,M1,AE,7
0.97075282818529,M1,AE,6
0.989780536327133,M1,AE,30
0.974819580038077,M1,AE,32
0.931354803073504,M1,AE,31
0.958192405183094,M1,AE,38
0.979084687557374,M1,AE,37
0.97740809018631,M1,AE,39
0.982244354947032,M1,AE,34
0.97917663060997,M1,AE,33
0.974409529301954,M1,AE,36
0.945800990608514,M1,AE,35
0.97538205740288,M1,AE,21
0.993276545268531,M1,AE,20
0.971758498026007,M1,AE,27
0.981763998041171,M1,AE,26
0.977631403964061,M1,AE,29
0.935925017593813,M1,AE,28
0.96601703622826,M1,AE,23
0.974516588183052,M1,AE,22
0.98193631386957,M1,AE,25
0.968989956732619,M1,AE,24
0.962507790340414,M1,AE,10
0.95380288123397,M1,AE,16
0.978511842224465,M1,AE,15
0.979283312854661,M1,AE,18
0.966074967205457,M1,AE,17
0.967584075687017,M1,AE,12
0.976731452887784,M1,AE,11
0.962299418658782,M1,AE,14
0.966368988001394,M1,AE,13
0.972983346899806,M1,AE,19
0.639304657745623,M1,GreedyCosto,0
0.636009153233072,M1,GreedyQoS,0
0.0894829434535255,M1,RoundRobin,0
0.985990659622505,M2,AE,22
0.98573444569616,M2,AE,21
0.991038033031299,M2,AE,20
0.980206059713297,M2,AE,26
0.985239780285376,M2,AE,25
0.983071408766775,M2,AE,24
0.983935011750721,M2,AE,23
0.991207045413309,M2,AE,8
0.989673005694591,M2,AE,7
0.976741217577911,M2,AE,29
0.990807852894952,M2,AE,28
0.991968502354856,M2,AE,9
0.985835024177755,M2,AE,27
0.990456972027653,M2,AE,4
0.97774391706284,M2,AE,3
0.983892975084613,M2,AE,6
0.992750910121181,M2,AE,5
0.98944846731532,M2,AE,0
0.982922014635482,M2,AE,2
0.988907865027862,M2,AE,1
0.984854704083959,M2,AE,33
0.990269040574155,M2,AE,32
0.992954475600708,M2,AE,31
0.993092438148529,M2,AE,30
0.988714334209646,M2,AE,37
0.98395429240449,M2,AE,36
0.985980109118029,M2,AE,35
0.983867707995794,M2,AE,34
0.989349096222701,M2,AE,39
0.984933525815791,M2,AE,38
0.979346801308752,M2,AE,40
0.991660780097296,M2,AE,44
0.990304510809994,M2,AE,43
0.988391947924166,M2,AE,42
0.980266885720436,M2,AE,41
0.989358818229076,M2,AE,48
0.987310495053149,M2,AE,47
0.992778702427676,M2,AE,46
0.984291695141735,M2,AE,45
0.993870488422073,M2,AE,49
0.990043756939384,M2,AE,11
0.99370656623241,M2,AE,10
0.987223091884707,M2,AE,15
0.991134626130228,M2,AE,14
0.981398850313147,M2,AE,13
0.992002305816504,M2,AE,12
0.985024192581082,M2,AE,19
0.985393874677369,M2,AE,18
0.98815696269768,M2,AE,17
0.992416952833895,M2,AE,16
0.666556304320031,M2,GreedyCosto,0
0.605351482014398,M2,GreedyQoS,0
0.0891589155784338,M2,RoundRobin,0
0.979932024451577,G1,AE,32
0.977374766672381,G1,AE,31
0.978808743069118,G1,AE,34
0.966686414645402,G1,AE,33
0.979559527348929,G1,AE,36
0.990507123691869,G1,AE,35
0.970020522763143,G1,AE,38
0.977940116188317,G1,AE,37
0.977023393957065,G1,AE,39
0.981951147211903,G1,AE,41
0.983565764333653,G1,AE,40
0.980301070347268,G1,AE,43
0.984379781969843,G1,AE,42
0.979869574246582,G1,AE,45
0.989033322407428,G1,AE,44
0.982070750697098,G1,AE,47
0.989428036222541,G1,AE,46
0.979682028036128,G1,AE,49
0.985975683354164,G1,AE,48
0.978529562563621,G1,AE,1
0.986757496286721,G1,AE,0
0.976003450917216,G1,AE,9
0.974783832769914,G1,AE,8
0.982250219871764,G1,AE,7
0.984238878304812,G1,AE,6
0.988080755939125,G1,AE,5
0.985694806360931,G1,AE,4
0.97580843464025,G1,AE,3
0.978503714560454,G1,AE,2
0.984974049386556,G1,AE,10
0.972020197405046,G1,AE,12
0.981484251670475,G1,AE,11
0.978240951382345,G1,AE,14
0.996608784276473,G1,AE,13
0.983924801133437,G1,AE,16
0.987419289551606,G1,AE,15
0.980925998927616,G1,AE,18
0.987928925587701,G1,AE,17
0.979664372200025,G1,AE,19
0.984099679298126,G1,AE,21
0.986573546974575,G1,AE,20
0.968991693553042,G1,AE,23
0.979549420216538,G1,AE,22
0.982820087818857,G1,AE,25
0.97896448262002,G1,AE,24
0.98161382029946,G1,AE,27
0.964566628549774,G1,AE,26
0.986464098541556,G1,AE,29
0.974368553456685,G1,AE,28
0.975507973851591,G1,AE,30
0.579524391105997,G1,GreedyCosto,0
0.685806134661297,G1,GreedyQoS,0
0.135695521129278,G1,RoundRobin,0
0.98515959670228,G2,AE,49
0.994426343667582,G2,AE,48
0.977478023999396,G2,AE,47
0.981087310427442,G2,AE,46
0.992462915505399,G2,AE,45
0.988376651741612,G2,AE,44
0.985464135499169,G2,AE,43
0.979829444914508,G2,AE,20
0.988003166816735,G2,AE,0
0.988344910046,G2,AE,9
0.977977605655265,G2,AE,19
0.984941869985359,G2,AE,18
0.982008956692135,G2,AE,3
0.982950341730469,G2,AE,17
0.993864527617607,G2,AE,4
0.981150782154073,G2,AE,16
0.987789910053386,G2,AE,1
0.988114998998898,G2,AE,15
0.984438089112136,G2,AE,2
0.981833086237694,G2,AE,14
0.985156077794711,G2,AE,7
0.995507162724082,G2,AE,13
0.990118352072272,G2,AE,8
0.985576165495469,G2,AE,12
0.987082520799243,G2,AE,5
0.987799459632567,G2,AE,11
0.987789910053386,G2,AE,6
0.970040285626184,G2,AE,10
0.985242339824794,G2,AE,31
0.980047781108763,G2,AE,30
0.981749104461089,G2,AE,29
0.98707338318921,G2,AE,28
0.986113444580009,G2,AE,27
0.99011281233809,G2,AE,26
0.995212085965335,G2,AE,25
0.986382708608898,G2,AE,24
0.967951008128102,G2,AE,23
0.991000082936357,G2,AE,22
0.97160326894491,G2,AE,21
0.973446862752918,G2,AE,42
0.984492086439216,G2,AE,41
0.993412278710367,G2,AE,40
0.982223371393858,G2,AE,39
0.985576440891961,G2,AE,38
0.992183317684016,G2,AE,37
0.992587506395287,G2,AE,36
0.986143800482384,G2,AE,35
0.977221155990522,G2,AE,34
0.985921443769324,G2,AE,33
0.974465387622593,G2,AE,32
0.59284819098167,G2,GreedyCosto,0
0.658569731969377,G2,GreedyQoS,0
0.119380973260454,G2,RoundRobin,0
