timestampInicio,timestampFin,instancia,duracion_segundos
2018-03-15 12:41:32,2018-03-15 12:41:38,AMPL1,6.0
2018-03-15 12:41:33,2018-03-15 12:41:40,AMPL1,7.0
2018-03-15 12:41:32,2018-03-15 12:41:38,AMPL1,6.0
2018-03-15 12:41:32,2018-03-15 12:41:40,AMPL1,8.0
2018-03-15 12:41:33,2018-03-15 12:41:39,AMPL1,6.0
2018-03-15 12:41:33,2018-03-15 12:41:38,AMPL1,5.0
2018-03-15 12:41:32,2018-03-15 12:41:38,AMPL1,6.0
2018-03-15 12:41:32,2018-03-15 12:41:38,AMPL1,6.0
2018-03-15 12:41:33,2018-03-15 12:41:38,AMPL1,5.0
2018-03-15 12:41:32,2018-03-15 12:41:38,AMPL1,6.0
2018-03-15 12:41:37,2018-03-15 12:41:56,AMPL1,19.0
2018-03-15 12:41:37,2018-03-15 12:41:57,AMPL1,20.0
2018-03-15 12:41:37,2018-03-15 12:42:08,AMPL1,31.0
2018-03-15 12:41:37,2018-03-15 12:42:07,AMPL1,30.0
2018-03-15 12:41:35,2018-03-15 12:42:02,AMPL1,27.0
2018-03-15 12:41:37,2018-03-15 12:42:05,AMPL1,28.0
2018-03-15 12:41:37,2018-03-15 12:41:59,AMPL1,22.0
2018-03-15 12:41:37,2018-03-15 12:42:00,AMPL1,23.0
2018-03-15 12:41:35,2018-03-15 12:41:57,AMPL1,22.0
2018-03-15 12:41:37,2018-03-15 12:42:06,AMPL1,29.0
2018-03-15 12:41:33,2018-03-15 12:41:39,AMPL1,6.0
2018-03-15 12:41:33,2018-03-15 12:41:38,AMPL1,5.0
2018-03-15 12:41:33,2018-03-15 12:41:38,AMPL1,5.0
2018-03-15 12:41:33,2018-03-15 12:41:37,AMPL1,4.0
2018-03-15 12:41:33,2018-03-15 12:41:38,AMPL1,5.0
2018-03-15 12:41:35,2018-03-15 12:41:43,AMPL1,8.0
2018-03-15 12:41:36,2018-03-15 12:41:45,AMPL1,9.0
2018-03-15 12:41:36,2018-03-15 12:41:46,AMPL1,10.0
2018-03-15 12:41:36,2018-03-15 12:41:48,AMPL1,12.0
2018-03-15 12:41:36,2018-03-15 12:41:46,AMPL1,10.0
2018-03-15 12:41:35,2018-03-15 12:41:43,AMPL1,8.0
2018-03-15 12:41:36,2018-03-15 12:41:43,AMPL1,7.0
2018-03-15 12:41:37,2018-03-15 12:41:43,AMPL1,6.0
2018-03-15 12:41:35,2018-03-15 12:41:43,AMPL1,8.0
2018-03-15 12:41:35,2018-03-15 12:41:43,AMPL1,8.0
2018-03-15 12:41:35,2018-03-15 12:41:46,AMPL1,11.0
2018-03-15 12:41:35,2018-03-15 12:41:43,AMPL1,8.0
2018-03-15 12:41:35,2018-03-15 12:41:44,AMPL1,9.0
2018-03-15 12:41:36,2018-03-15 12:41:45,AMPL1,9.0
2018-03-15 12:41:36,2018-03-15 12:41:47,AMPL1,11.0
2018-03-15 12:41:36,2018-03-15 12:41:44,AMPL1,8.0
2018-03-15 12:41:36,2018-03-15 12:41:44,AMPL1,8.0
2018-03-15 12:41:36,2018-03-15 12:41:45,AMPL1,9.0
2018-03-15 12:41:36,2018-03-15 12:41:44,AMPL1,8.0
2018-03-15 12:41:36,2018-03-15 12:41:45,AMPL1,9.0
2018-03-15 12:41:36,2018-03-15 12:41:48,AMPL1,12.0
2018-03-15 12:41:36,2018-03-15 12:41:48,AMPL1,12.0
2018-03-15 12:41:36,2018-03-15 12:41:50,AMPL1,14.0
2018-03-15 12:41:36,2018-03-15 12:41:51,AMPL1,15.0
2018-03-15 12:41:36,2018-03-15 12:41:50,AMPL1,14.0
2018-03-15 12:44:39,2018-03-15 12:44:48,AMPL2,9.0
2018-03-15 12:44:40,2018-03-15 12:44:48,AMPL2,8.0
2018-03-15 12:44:38,2018-03-15 12:44:47,AMPL2,9.0
2018-03-15 12:44:38,2018-03-15 12:44:47,AMPL2,9.0
2018-03-15 12:44:39,2018-03-15 12:44:49,AMPL2,10.0
2018-03-15 12:44:39,2018-03-15 12:44:45,AMPL2,6.0
2018-03-15 12:44:39,2018-03-15 12:44:46,AMPL2,7.0
2018-03-15 12:44:38,2018-03-15 12:44:44,AMPL2,6.0
2018-03-15 12:44:39,2018-03-15 12:44:45,AMPL2,6.0
2018-03-15 12:44:39,2018-03-15 12:44:46,AMPL2,7.0
2018-03-15 12:44:39,2018-03-15 12:44:46,AMPL2,7.0
2018-03-15 12:44:39,2018-03-15 12:44:45,AMPL2,6.0
2018-03-15 12:44:39,2018-03-15 12:44:44,AMPL2,5.0
2018-03-15 12:44:39,2018-03-15 12:44:45,AMPL2,6.0
2018-03-15 12:44:39,2018-03-15 12:44:45,AMPL2,6.0
2018-03-15 12:44:40,2018-03-15 12:44:53,AMPL2,13.0
2018-03-15 12:44:40,2018-03-15 12:44:52,AMPL2,12.0
2018-03-15 12:44:40,2018-03-15 12:44:52,AMPL2,12.0
2018-03-15 12:44:40,2018-03-15 12:44:53,AMPL2,13.0
2018-03-15 12:44:39,2018-03-15 12:44:51,AMPL2,12.0
2018-03-15 12:44:39,2018-03-15 12:44:48,AMPL2,9.0
2018-03-15 12:44:39,2018-03-15 12:44:47,AMPL2,8.0
2018-03-15 12:44:40,2018-03-15 12:44:48,AMPL2,8.0
2018-03-15 12:44:40,2018-03-15 12:44:49,AMPL2,9.0
2018-03-15 12:44:39,2018-03-15 12:44:48,AMPL2,9.0
2018-03-15 12:44:40,2018-03-15 12:44:49,AMPL2,9.0
2018-03-15 12:44:40,2018-03-15 12:44:47,AMPL2,7.0
2018-03-15 12:44:39,2018-03-15 12:44:48,AMPL2,9.0
2018-03-15 12:44:40,2018-03-15 12:44:48,AMPL2,8.0
2018-03-15 12:44:40,2018-03-15 12:44:47,AMPL2,7.0
2018-03-15 12:44:39,2018-03-15 12:44:53,AMPL2,14.0
2018-03-15 12:44:39,2018-03-15 12:44:53,AMPL2,14.0
2018-03-15 12:44:39,2018-03-15 12:44:52,AMPL2,13.0
2018-03-15 12:44:39,2018-03-15 12:44:53,AMPL2,14.0
2018-03-15 12:44:39,2018-03-15 12:44:52,AMPL2,13.0
2018-03-15 12:44:41,2018-03-15 12:44:56,AMPL2,15.0
2018-03-15 12:44:41,2018-03-15 12:45:00,AMPL2,19.0
2018-03-15 12:44:41,2018-03-15 12:44:58,AMPL2,17.0
2018-03-15 12:44:41,2018-03-15 12:45:00,AMPL2,19.0
2018-03-15 12:44:41,2018-03-15 12:45:00,AMPL2,19.0
2018-03-15 12:44:43,2018-03-15 12:44:59,AMPL2,16.0
2018-03-15 12:44:43,2018-03-15 12:45:00,AMPL2,17.0
2018-03-15 12:44:43,2018-03-15 12:44:59,AMPL2,16.0
2018-03-15 12:44:43,2018-03-15 12:45:01,AMPL2,18.0
2018-03-15 12:44:43,2018-03-15 12:45:02,AMPL2,19.0
2018-03-15 12:44:43,2018-03-15 12:44:56,AMPL2,13.0
2018-03-15 12:44:43,2018-03-15 12:44:56,AMPL2,13.0
2018-03-15 12:44:43,2018-03-15 12:44:57,AMPL2,14.0
2018-03-15 12:44:43,2018-03-15 12:44:57,AMPL2,14.0
2018-03-15 12:44:43,2018-03-15 12:44:58,AMPL2,15.0
2018-03-15 12:51:55,2018-03-15 12:52:03,AMPL3,8.0
2018-03-15 12:51:53,2018-03-15 12:52:01,AMPL3,8.0
2018-03-15 12:51:54,2018-03-15 12:52:02,AMPL3,8.0
2018-03-15 12:51:54,2018-03-15 12:52:02,AMPL3,8.0
2018-03-15 12:51:54,2018-03-15 12:52:02,AMPL3,8.0
2018-03-15 12:51:55,2018-03-15 12:52:02,AMPL3,7.0
2018-03-15 12:51:55,2018-03-15 12:52:03,AMPL3,8.0
2018-03-15 12:51:54,2018-03-15 12:52:01,AMPL3,7.0
2018-03-15 12:51:55,2018-03-15 12:52:04,AMPL3,9.0
2018-03-15 12:51:55,2018-03-15 12:52:03,AMPL3,8.0
2018-03-15 12:51:57,2018-03-15 12:52:34,AMPL3,37.0
2018-03-15 12:51:57,2018-03-15 12:52:33,AMPL3,36.0
2018-03-15 12:51:56,2018-03-15 12:52:32,AMPL3,36.0
2018-03-15 12:51:56,2018-03-15 12:52:36,AMPL3,40.0
2018-03-15 12:51:57,2018-03-15 12:52:35,AMPL3,38.0
2018-03-15 12:51:57,2018-03-15 12:52:41,AMPL3,44.0
2018-03-15 12:51:57,2018-03-15 12:52:37,AMPL3,40.0
2018-03-15 12:51:56,2018-03-15 12:52:36,AMPL3,40.0
2018-03-15 12:51:56,2018-03-15 12:52:35,AMPL3,39.0
2018-03-15 12:51:56,2018-03-15 12:52:27,AMPL3,31.0
2018-03-15 12:51:55,2018-03-15 12:52:01,AMPL3,6.0
2018-03-15 12:51:55,2018-03-15 12:52:01,AMPL3,6.0
2018-03-15 12:51:55,2018-03-15 12:52:00,AMPL3,5.0
2018-03-15 12:51:55,2018-03-15 12:52:00,AMPL3,5.0
2018-03-15 12:51:56,2018-03-15 12:52:02,AMPL3,6.0
2018-03-15 12:51:56,2018-03-15 12:52:05,AMPL3,9.0
2018-03-15 12:51:55,2018-03-15 12:52:05,AMPL3,10.0
2018-03-15 12:51:55,2018-03-15 12:52:07,AMPL3,12.0
2018-03-15 12:51:56,2018-03-15 12:52:04,AMPL3,8.0
2018-03-15 12:51:55,2018-03-15 12:52:04,AMPL3,9.0
2018-03-15 12:51:54,2018-03-15 12:52:03,AMPL3,9.0
2018-03-15 12:51:54,2018-03-15 12:52:02,AMPL3,8.0
2018-03-15 12:51:54,2018-03-15 12:52:03,AMPL3,9.0
2018-03-15 12:51:55,2018-03-15 12:52:06,AMPL3,11.0
2018-03-15 12:51:54,2018-03-15 12:52:05,AMPL3,11.0
2018-03-15 12:51:55,2018-03-15 12:52:02,AMPL3,7.0
2018-03-15 12:51:55,2018-03-15 12:52:04,AMPL3,9.0
2018-03-15 12:51:54,2018-03-15 12:52:02,AMPL3,8.0
2018-03-15 12:51:55,2018-03-15 12:52:04,AMPL3,9.0
2018-03-15 12:51:55,2018-03-15 12:52:02,AMPL3,7.0
2018-03-15 12:51:54,2018-03-15 12:52:04,AMPL3,10.0
2018-03-15 12:51:55,2018-03-15 12:52:08,AMPL3,13.0
2018-03-15 12:51:55,2018-03-15 12:52:07,AMPL3,12.0
2018-03-15 12:51:54,2018-03-15 12:52:05,AMPL3,11.0
2018-03-15 12:51:55,2018-03-15 12:52:07,AMPL3,12.0
2018-03-15 12:51:54,2018-03-15 12:52:11,AMPL3,17.0
2018-03-15 12:51:55,2018-03-15 12:52:15,AMPL3,20.0
2018-03-15 12:51:54,2018-03-15 12:52:12,AMPL3,18.0
2018-03-15 12:51:55,2018-03-15 12:52:15,AMPL3,20.0
2018-03-15 12:51:55,2018-03-15 12:52:14,AMPL3,19.0
2018-03-15 13:01:12,2018-03-15 13:01:20,AMPL4,8.0
2018-03-15 13:01:12,2018-03-15 13:01:19,AMPL4,7.0
2018-03-15 13:01:11,2018-03-15 13:01:18,AMPL4,7.0
2018-03-15 13:01:12,2018-03-15 13:01:19,AMPL4,7.0
2018-03-15 13:01:13,2018-03-15 13:01:20,AMPL4,7.0
2018-03-15 13:01:12,2018-03-15 13:01:21,AMPL4,9.0
2018-03-15 13:01:12,2018-03-15 13:01:21,AMPL4,9.0
2018-03-15 13:01:12,2018-03-15 13:01:21,AMPL4,9.0
2018-03-15 13:01:12,2018-03-15 13:01:21,AMPL4,9.0
2018-03-15 13:01:11,2018-03-15 13:01:20,AMPL4,9.0
2018-03-15 13:01:15,2018-03-15 13:01:44,AMPL4,29.0
2018-03-15 13:01:16,2018-03-15 13:01:44,AMPL4,28.0
2018-03-15 13:01:16,2018-03-15 13:01:58,AMPL4,42.0
2018-03-15 13:01:15,2018-03-15 13:01:53,AMPL4,38.0
2018-03-15 13:01:15,2018-03-15 13:01:57,AMPL4,42.0
2018-03-15 13:01:16,2018-03-15 13:01:54,AMPL4,38.0
2018-03-15 13:01:16,2018-03-15 13:01:52,AMPL4,36.0
2018-03-15 13:01:15,2018-03-15 13:01:50,AMPL4,35.0
2018-03-15 13:01:16,2018-03-15 13:01:44,AMPL4,28.0
2018-03-15 13:01:16,2018-03-15 13:01:38,AMPL4,22.0
2018-03-15 13:01:12,2018-03-15 13:01:20,AMPL4,8.0
2018-03-15 13:01:12,2018-03-15 13:01:21,AMPL4,9.0
2018-03-15 13:01:12,2018-03-15 13:01:21,AMPL4,9.0
2018-03-15 13:01:13,2018-03-15 13:01:20,AMPL4,7.0
2018-03-15 13:01:13,2018-03-15 13:01:22,AMPL4,9.0
2018-03-15 13:01:14,2018-03-15 13:01:28,AMPL4,14.0
2018-03-15 13:01:13,2018-03-15 13:01:29,AMPL4,16.0
2018-03-15 13:01:12,2018-03-15 13:01:26,AMPL4,14.0
2018-03-15 13:01:14,2018-03-15 13:01:29,AMPL4,15.0
2018-03-15 13:01:13,2018-03-15 13:01:30,AMPL4,17.0
2018-03-15 13:01:12,2018-03-15 13:01:27,AMPL4,15.0
2018-03-15 13:01:14,2018-03-15 13:01:27,AMPL4,13.0
2018-03-15 13:01:13,2018-03-15 13:01:27,AMPL4,14.0
2018-03-15 13:01:14,2018-03-15 13:01:27,AMPL4,13.0
2018-03-15 13:01:12,2018-03-15 13:01:25,AMPL4,13.0
2018-03-15 13:01:14,2018-03-15 13:01:25,AMPL4,11.0
2018-03-15 13:01:13,2018-03-15 13:01:22,AMPL4,9.0
2018-03-15 13:01:14,2018-03-15 13:01:23,AMPL4,9.0
2018-03-15 13:01:14,2018-03-15 13:01:25,AMPL4,11.0
2018-03-15 13:01:12,2018-03-15 13:01:23,AMPL4,11.0
2018-03-15 13:01:13,2018-03-15 13:01:32,AMPL4,19.0
2018-03-15 13:01:13,2018-03-15 13:01:31,AMPL4,18.0
2018-03-15 13:01:13,2018-03-15 13:01:30,AMPL4,17.0
2018-03-15 13:01:13,2018-03-15 13:01:33,AMPL4,20.0
2018-03-15 13:01:13,2018-03-15 13:01:32,AMPL4,19.0
2018-03-15 13:01:13,2018-03-15 13:01:28,AMPL4,15.0
2018-03-15 13:01:13,2018-03-15 13:01:29,AMPL4,16.0
2018-03-15 13:01:13,2018-03-15 13:01:29,AMPL4,16.0
2018-03-15 13:01:13,2018-03-15 13:01:29,AMPL4,16.0
2018-03-15 13:01:13,2018-03-15 13:01:27,AMPL4,14.0
2018-02-23 10:56:07,2018-02-23 10:57:05,CH1,58.0
2018-02-23 10:56:07,2018-02-23 10:57:04,CH1,57.0
2018-02-23 10:56:07,2018-02-23 10:57:06,CH1,59.0
2018-02-23 10:56:07,2018-02-23 10:57:04,CH1,57.0
2018-02-23 10:56:07,2018-02-23 10:57:04,CH1,57.0
2018-02-23 10:56:07,2018-02-23 10:57:06,CH1,59.0
2018-02-23 10:56:07,2018-02-23 10:57:04,CH1,57.0
2018-02-23 10:56:07,2018-02-23 10:57:03,CH1,56.0
2018-02-23 10:56:07,2018-02-23 10:57:05,CH1,58.0
2018-02-23 10:56:07,2018-02-23 10:57:05,CH1,58.0
2018-02-21 20:39:38,2018-02-21 20:41:32,CH1,114.0
2018-02-21 20:39:37,2018-02-21 20:41:29,CH1,112.0
2018-02-21 15:09:13,2018-02-21 15:12:53,CH1,220.0
2018-02-21 15:09:13,2018-02-21 15:12:17,CH1,184.0
2018-02-21 15:09:22,2018-02-21 15:12:24,CH1,182.0
2018-02-21 20:39:37,2018-02-21 20:41:09,CH1,92.0
2018-02-21 15:09:14,2018-02-21 15:12:42,CH1,208.0
2018-02-21 15:09:21,2018-02-21 15:12:23,CH1,182.0
2018-02-21 20:39:37,2018-02-21 20:41:09,CH1,92.0
2018-02-21 15:09:21,2018-02-21 15:12:12,CH1,171.0
2018-02-21 15:09:26,2018-02-21 15:15:09,CH1,343.0
2018-02-21 15:09:25,2018-02-21 15:14:37,CH1,312.0
2018-02-21 15:09:25,2018-02-21 15:14:21,CH1,296.0
2018-02-21 15:09:25,2018-02-21 15:13:49,CH1,264.0
2018-02-21 15:09:22,2018-02-21 15:15:05,CH1,343.0
2018-02-21 15:09:22,2018-02-21 15:14:17,CH1,295.0
2018-02-21 20:39:38,2018-02-21 20:41:30,CH1,112.0
2018-02-21 20:39:37,2018-02-21 20:41:08,CH1,91.0
2018-02-21 15:09:26,2018-02-21 15:12:24,CH1,178.0
2018-02-21 15:09:25,2018-02-21 15:14:27,CH1,302.0
2018-02-21 15:09:14,2018-02-21 15:11:16,CH1,122.0
2018-02-21 15:09:12,2018-02-21 15:11:14,CH1,122.0
2018-02-21 20:39:37,2018-02-21 20:41:08,CH1,91.0
2018-02-21 15:09:11,2018-02-21 15:11:01,CH1,110.0
2018-02-21 15:09:12,2018-02-21 15:11:23,CH1,131.0
2018-02-21 15:09:19,2018-02-21 15:11:13,CH1,114.0
2018-02-21 15:09:13,2018-02-21 15:11:21,CH1,128.0
2018-02-21 15:09:12,2018-02-21 15:11:26,CH1,134.0
2018-02-21 15:09:11,2018-02-21 15:11:16,CH1,125.0
2018-02-21 20:39:37,2018-02-21 20:41:12,CH1,95.0
2018-02-21 15:37:07,2018-02-21 15:38:59,CH1,112.0
2018-02-21 15:37:07,2018-02-21 15:39:01,CH1,114.0
2018-02-21 15:37:07,2018-02-21 15:39:03,CH1,116.0
2018-02-21 15:37:07,2018-02-21 15:39:01,CH1,114.0
2018-02-21 15:37:07,2018-02-21 15:38:51,CH1,104.0
